Latitude,Longitude,Point_ID,High_Priority_Location,Gear_Type,Stratification_Category,Method,geometry
43.23609091,-76.92916242,MB16,"Sodus Bay, NY",Metabarcoding,Open,Random,"c(-76.9291624197172, 43.2360909142394)"
43.26287959,-76.99114864,MB17,"Sodus Bay, NY",Metabarcoding,Open,Random,"c(-76.9911486360513, 43.2628795908522)"
43.23517329,-76.92901878,MB18,"Sodus Bay, NY",Metabarcoding,Open,Random,"c(-76.9290187832001, 43.2351732892932)"
43.23177744,-76.9311786,MB19,"Sodus Bay, NY",Metabarcoding,Open,Random,"c(-76.931178602073, 43.2317774393154)"
43.26690817,-76.98611714,MB20,"Sodus Bay, NY",Metabarcoding,Open,Random,"c(-76.9861171442454, 43.2669081678569)"
43.95371783,-76.1567288,MB1,"Black River Bay, NY",Metabarcoding,Open,Random,"c(-76.1567288006738, 43.9537178254193)"
43.95387935,-76.13173899,MB2,"Black River Bay, NY",Metabarcoding,Open,Random,"c(-76.1317389877912, 43.9538793498441)"
43.97602019,-76.10754287,MB3,"Black River Bay, NY",Metabarcoding,Open,Random,"c(-76.1075428675825, 43.9760201928149)"
43.96299506,-76.13844894,MB4,"Black River Bay, NY",Metabarcoding,Open,Random,"c(-76.1384489445198, 43.9629950570469)"
43.9564794,-76.1241976,MB5,"Black River Bay, NY",Metabarcoding,Open,Random,"c(-76.1241976009764, 43.9564794031458)"
43.9818452,-76.09954182,MB6,"Black River Bay, NY",Metabarcoding,Open,Random,"c(-76.0995418164725, 43.9818451955992)"
43.95974644,-76.15759272,MB7,"Black River Bay, NY",Metabarcoding,Open,Random,"c(-76.1575927226852, 43.9597464400973)"
43.9592376,-76.16190675,MB8,"Black River Bay, NY",Metabarcoding,Open,Random,"c(-76.1619067522009, 43.9592376027816)"
43.96229599,-76.11054525,MB9,"Black River Bay, NY",Metabarcoding,Open,Random,"c(-76.1105452483776, 43.9622959869847)"
43.98113971,-76.10575179,MB10,"Black River Bay, NY",Metabarcoding,Open,Random,"c(-76.1057517896144, 43.9811397057219)"
43.96429871,-76.10279077,MB11,"Black River Bay, NY",Metabarcoding,Open,Random,"c(-76.1027907695479, 43.964298710515)"
43.95036612,-76.14719472,MB12,"Black River Bay, NY",Metabarcoding,Open,Random,"c(-76.1471947152588, 43.9503661203693)"
43.95033314,-76.13154079,MB13,"Black River Bay, NY",Metabarcoding,Open,Random,"c(-76.13154078825, 43.9503331391031)"
43.98109607,-76.08123794,MB14,"Black River Bay, NY",Metabarcoding,Open,Random,"c(-76.0812379408823, 43.9810960708152)"
43.95702762,-76.13394206,MB15,"Black River Bay, NY",Metabarcoding,Open,Random,"c(-76.1339420640171, 43.957027619309)"
43.98168476,-76.08382094,MB16,"Black River Bay, NY",Metabarcoding,Open,Random,"c(-76.0838209355341, 43.9816847644137)"
43.98983418,-76.08319324,MB17,"Black River Bay, NY",Metabarcoding,Open,Random,"c(-76.0831932418716, 43.9898341752922)"
43.94676699,-76.13788832,MB18,"Black River Bay, NY",Metabarcoding,Open,Random,"c(-76.1378883214028, 43.9467669915709)"
43.95620185,-76.14146391,MB19,"Black River Bay, NY",Metabarcoding,Open,Random,"c(-76.1414639071256, 43.9562018458032)"
43.95531628,-76.14737136,MB20,"Black River Bay, NY",Metabarcoding,Open,Random,"c(-76.1473713582528, 43.955316284908)"
43.94466124,-76.14619854,MB21,"Black River Bay, NY",Metabarcoding,Open,Random,"c(-76.1461985418959, 43.9446612394416)"
43.99016384,-76.07104591,MB22,"Black River Bay, NY",Metabarcoding,Open,Random,"c(-76.0710459132309, 43.990163837878)"
43.98918676,-76.09027058,MB23,"Black River Bay, NY",Metabarcoding,Open,Random,"c(-76.0902705760367, 43.9891867632614)"
43.95962034,-76.12059128,MB24,"Black River Bay, NY",Metabarcoding,Open,Random,"c(-76.1205912806449, 43.9596203444326)"
43.98338855,-76.09372965,MB25,"Black River Bay, NY",Metabarcoding,Open,Random,"c(-76.0937296546586, 43.9833885539943)"
43.97783466,-76.07172169,MB26,"Black River Bay, NY",Metabarcoding,Open,Random,"c(-76.0717216883821, 43.9778346557454)"
43.99152073,-76.08160133,MB27,"Black River Bay, NY",Metabarcoding,Open,Random,"c(-76.0816013346169, 43.9915207263321)"
43.95429954,-76.16256137,MB28,"Black River Bay, NY",Metabarcoding,Open,Random,"c(-76.1625613742417, 43.9542995397892)"
43.94780797,-76.14819057,MB29,"Black River Bay, NY",Metabarcoding,Open,Random,"c(-76.1481905716047, 43.9478079726449)"
43.96345109,-76.14924387,MB30,"Black River Bay, NY",Metabarcoding,Open,Random,"c(-76.1492438697494, 43.9634510879597)"
44.26573253963976,-76.05244438830977,MB1,"Thousand Islands, NY/ON",Metabarcoding,Open,Random,"c(-76.0524443883098, 44.2657325396398)"
44.25123448396563,-76.08919766539694,MB2,"Thousand Islands, NY/ON",Metabarcoding,Open,Random,"c(-76.0891976653969, 44.2512344839656)"
44.22698353206454,-76.14993846174309,MB3,"Thousand Islands, NY/ON",Metabarcoding,Open,Random,"c(-76.1499384617431, 44.2269835320645)"
44.209665838393434,-76.22261275682926,MB4,"Thousand Islands, NY/ON",Metabarcoding,Open,Random,"c(-76.2226127568293, 44.2096658383934)"
44.199310283199914,-76.230963672467,MB5,"Thousand Islands, NY/ON",Metabarcoding,Open,Random,"c(-76.230963672467, 44.1993102831999)"
44.2419871225433,-76.15567313660874,MB6,"Thousand Islands, NY/ON",Metabarcoding,Open,Random,"c(-76.1556731366087, 44.2419871225433)"
44.19118033117986,-76.21671709426685,MB7,"Thousand Islands, NY/ON",Metabarcoding,Open,Random,"c(-76.2167170942669, 44.1911803311799)"
44.20220387935174,-76.20901223684398,MB8,"Thousand Islands, NY/ON",Metabarcoding,Open,Random,"c(-76.209012236844, 44.2022038793517)"
44.36714929566335,-75.91374596808333,MB9,"Thousand Islands, NY/ON",Metabarcoding,Open,Random,"c(-75.9137459680833, 44.3671492956634)"
44.23942638900163,-76.09454871520022,MB10,"Thousand Islands, NY/ON",Metabarcoding,Open,Random,"c(-76.0945487152002, 44.2394263890016)"
44.2995316504322,-75.98775263967349,MB11,"Thousand Islands, NY/ON",Metabarcoding,Open,Random,"c(-75.9877526396735, 44.2995316504322)"
44.25382152769435,-76.08429950188386,MB12,"Thousand Islands, NY/ON",Metabarcoding,Open,Random,"c(-76.0842995018839, 44.2538215276943)"
44.24737155436086,-76.13097762757052,MB13,"Thousand Islands, NY/ON",Metabarcoding,Open,Random,"c(-76.1309776275705, 44.2473715543609)"
44.26194544846957,-76.09517483516946,MB14,"Thousand Islands, NY/ON",Metabarcoding,Open,Random,"c(-76.0951748351695, 44.2619454484696)"
44.2105400507761,-76.21954889207,MB15,"Thousand Islands, NY/ON",Metabarcoding,Open,Random,"c(-76.21954889207, 44.2105400507761)"
44.20122446397193,-76.23608000270478,MB16,"Thousand Islands, NY/ON",Metabarcoding,Open,Random,"c(-76.2360800027048, 44.2012244639719)"
44.247580233018176,-76.12535248312182,MB17,"Thousand Islands, NY/ON",Metabarcoding,Open,Random,"c(-76.1253524831218, 44.2475802330182)"
44.367100403188026,-75.89024423894034,MB18,"Thousand Islands, NY/ON",Metabarcoding,Open,Random,"c(-75.8902442389403, 44.367100403188)"
44.21906250818136,-76.1707567546325,MB19,"Thousand Islands, NY/ON",Metabarcoding,Open,Random,"c(-76.1707567546325, 44.2190625081814)"
44.25647663209701,-76.07860574222185,MB20,"Thousand Islands, NY/ON",Metabarcoding,Open,Random,"c(-76.0786057422219, 44.256476632097)"
44.388937802728115,-75.85516553949368,MB21,"Thousand Islands, NY/ON",Metabarcoding,Open,Random,"c(-75.8551655394937, 44.3889378027281)"
44.37032454820837,-75.85537261981514,MB22,"Thousand Islands, NY/ON",Metabarcoding,Open,Random,"c(-75.8553726198151, 44.3703245482084)"
44.23958071136322,-76.11154206604357,MB23,"Thousand Islands, NY/ON",Metabarcoding,Open,Random,"c(-76.1115420660436, 44.2395807113632)"
44.36885685416688,-75.89958460218226,MB24,"Thousand Islands, NY/ON",Metabarcoding,Open,Random,"c(-75.8995846021823, 44.3688568541669)"
44.20065111732028,-76.22394142653525,MB25,"Thousand Islands, NY/ON",Metabarcoding,Open,Random,"c(-76.2239414265352, 44.2006511173203)"
44.27003504680897,-76.16148000407392,MB26,"Thousand Islands, NY/ON",Metabarcoding,Open,Random,"c(-76.1614800040739, 44.270035046809)"
44.3362006382641,-75.97859846068926,MB27,"Thousand Islands, NY/ON",Metabarcoding,Open,Random,"c(-75.9785984606893, 44.3362006382641)"
44.29670779284862,-76.04957877234808,MB28,"Thousand Islands, NY/ON",Metabarcoding,Open,Random,"c(-76.0495787723481, 44.2967077928486)"
44.24481971578076,-76.12992807213028,MB29,"Thousand Islands, NY/ON",Metabarcoding,Open,Random,"c(-76.1299280721303, 44.2448197157808)"
44.21956722419106,-76.19324652725497,MB30,"Thousand Islands, NY/ON",Metabarcoding,Open,Random,"c(-76.193246527255, 44.2195672241911)"
