Latitude,Longitude,Point_ID,High_Priority_Location,Gear_Type,Stratification_Category,Method,geometry
43.25522323,-76.9629822,MB1,"Sodus Bay, NY",Metabarcoding,Open,Random,"c(-76.9629821983287, 43.2552232333082)"
43.24165568,-76.95358925,MB2,"Sodus Bay, NY",Metabarcoding,Open,Random,"c(-76.9535892521553, 43.2416556806683)"
43.24537925,-76.95964802,MB3,"Sodus Bay, NY",Metabarcoding,Open,Random,"c(-76.9596480212743, 43.2453792469309)"
43.25928278,-76.97165615,MB4,"Sodus Bay, NY",Metabarcoding,Open,Random,"c(-76.9716561496842, 43.2592827782999)"
43.25081888,-76.94159766,MB5,"Sodus Bay, NY",Metabarcoding,Open,Random,"c(-76.9415976625287, 43.2508188827404)"
43.26925322,-76.95975106,MB6,"Sodus Bay, NY",Metabarcoding,Open,Random,"c(-76.9597510597351, 43.2692532224455)"
43.25604605,-76.98122223,MB7,"Sodus Bay, NY",Metabarcoding,Open,Random,"c(-76.9812222266035, 43.2560460543549)"
43.26953204,-76.94433411,MB8,"Sodus Bay, NY",Metabarcoding,Open,Random,"c(-76.944334105874, 43.2695320394926)"
43.23343439,-76.93155622,MB9,"Sodus Bay, NY",Metabarcoding,Open,Random,"c(-76.9315562237198, 43.2334343945129)"
43.24248667,-76.95269279,MB10,"Sodus Bay, NY",Metabarcoding,Open,Random,"c(-76.9526927936347, 43.2424866747784)"
43.24285752,-76.94244517,MB11,"Sodus Bay, NY",Metabarcoding,Open,Random,"c(-76.9424451651023, 43.2428575195628)"
43.24855163,-76.94344875,MB12,"Sodus Bay, NY",Metabarcoding,Open,Random,"c(-76.9434487481825, 43.2485516261394)"
43.25467952,-76.94329617,MB13,"Sodus Bay, NY",Metabarcoding,Open,Random,"c(-76.9432961651134, 43.2546795246672)"
43.2495334,-76.9672105,MB14,"Sodus Bay, NY",Metabarcoding,Open,Random,"c(-76.9672105018623, 43.2495334002588)"
43.26904123,-76.94979266,MB15,"Sodus Bay, NY",Metabarcoding,Open,Random,"c(-76.949792662077, 43.2690412272629)"
